id,overall_status,study_type,start_date,enrollment,condition,location_countries,intervention,title,date_processed,sponsors
NCT04375735,Not yet recruiting,Interventional,"July 1, 2020",20,"ARDS, HUMAN",,BOVINE LIPID EXTRACT SURFACTANT,Phase I/II Trial: Exogenous Surfactant Administration for Patients With COVID-19,"February 08, 2021",Lawson Health Research Institute
NCT04672564,Not yet recruiting,Interventional,"January 14, 2021",300,CORONAVIRUS DISEASE 2019,ARGENTINA,CARRIMYCIN,"A Phase 3, Randomized, Multicenter, Placebo-controlled, Double-blind Clinical Study of the Safety and Efficacy of Carrimycin for Treatment of Severe COVID-19 in Hospitalized Patients","February 08, 2021","Shenyang Tonglian Group CO., Ltd"
NCT04341727,Suspended,Interventional,"April 4, 2020",500,CORONAVIRUS INFECTION,UNITED STATES,HYDROXYCHLOROQUINE SULFATE,"WU 352: Open-label, Randomized Controlled Trial of Hydroxychloroquine Alone or Hydroxychloroquine Plus Azithromycin or Chloroquine Alone or Chloroquine Plus Azithromycin in the Treatment of SARS CoV-2 Infection","February 08, 2021",Washington University School of Medicine
NCT04344002,Recruiting,Observational [Patient Registry],"April 21, 2020",200,COVID,SPAIN,,Observational Retrospective Register of Spanish Lung and Melanoma Cancer Patients With COVID19 Disease,"February 08, 2021",Spanish Lung Cancer Group
NCT04350684,Enrolling by invitation,Interventional,"April 15, 2020",40,COVID,"IRAN, ISLAMIC REPUBLIC OF",UMIFENOVIR,"Efficacy and Safety of Umifenovir as an Adjuvant Therapy Compared to the Control Therapeutic Regiment of Interferon Beta 1a, Lopinavir / Ritonavir and a Single Dose of Hydroxychloroquine in Moderate to Severe COVID-19: A Randomized, Double-Blind, Placebo-Controlled, Clinical Trial","February 08, 2021",Shahid Beheshti University of Medical Sciences
NCT04741178,Recruiting,Observational,"March 20, 2020",600,COVID,ITALY,,PAtterns and Extension in Sars-Cov-2 Related Interstitial Pneumonia: CT Analysis,"February 08, 2021",Morgagni Pierantoni Hospital
NCT04405921,Not yet recruiting,Interventional,July 2020,200,SARS-COV2 PNEUMONIA,TUNISIA,HYDROXYCHLOROQUINE 200 MG ORAL TABLET,"Hydroxychloroquine, Azithromycin in the Treatment of Covid-19 Pneumonia: A Randomized,Open-label,Controlled Clinical Trial","February 08, 2021",Centre Hôpital Universitaire Farhat Hached
NCT04394377,Recruiting,Interventional,"June 21, 2020",600,CORONAVIRUS INFECTION,BRAZIL,GROUP 1: RIVAROXABAN 20MG/D FOLLOWED BY ENOXAPARIN/UNFRACTIONATED HEPARIN WHEN NEEDED,Randomized Clinical Trial to Evaluate a Routine Full Anticoagulation Strategy in Patients With Coronavirus (COVID-19) - COALIZAO ACTION Trial,"February 08, 2021",Brazilian Clinical Research Institute
NCT04405843,Completed,Interventional,"July 14, 2020",476,COVID,COLOMBIA,IVERMECTIN ORAL PRODUCT,"Randomized, Placebo Controlled, Double Blind Clinical Trial to Evaluate the Efficacy of Molecule D11AX22 in Adults Patients From Valle Del Cauca, Colombia With Early Stages of SARS COV2 / COVID-19","February 08, 2021",Centro de Estudios en Infectogía Pediatrica
NCT04320615,Completed,Interventional,"April 3, 2020",450,COVID PNEUMONIA,CANADA,TOCILIZUMAB (TCZ),"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia","February 08, 2021",Hoffmann-La Roche
NCT04649918,Recruiting,Observational,"November 25, 2020",50,COVID,GERMANY,PULMONARY REHABILITATION,Short and Medium-term Effects of Pulmonary Rehabilitation in Mild to Critical Post-acute COVID-19 - an Observational Trial,"February 08, 2021",Schön Klinik Berchtesgadener Land
NCT04381988,Recruiting,Interventional,"May 7, 2020",132,COVID,UNITED STATES,HYDROXYCHLOROQUINE,A Phase II Randomized Double-Blind Placebo-Controlled Clinical Trial Of Hydroxychloroquine For Prophylaxis Against Covid-19 In Patients Receiving Radiotherapy (COVID),"February 08, 2021",Memorial Sloan Kettering Cancer Center
NCT04653727,Recruiting,Observational,"January 6, 2021",3000,COVID,GERMANY,CROSS-SECTIONAL SURVEY,Effects of Interventions and Lifestyle Modifications in Integrative Medicine and the Course of Infectious Respiratory Diseases Including COVID-19,"February 08, 2021","Charite University, Berlin, Germany"
NCT04407923,Recruiting,Observational,"May 25, 2020",150,JUVENILE IDIOPATHIC ARTHRITIS,FRANCE,,Drug Management of Juvenile Idiopathic Arthritis in Covid-19 Context,"February 08, 2021","University Hospital, Brest"
NCT04680819,Not yet recruiting,Observational [Patient Registry],"December 25, 2020",50,COVID,,ANATOLIAN PROPOLIS,Evaluation of the Effect of Anatolian Propolis on Covid-19 in Healthcare Professionals,"February 08, 2021",Ataturk University
NCT04443257,Enrolling by invitation,Observational,"July 8, 2020",200,SARS-COV2,FRANCE,ASSESSMENT OF THE SEQUELAE AFTER HOSPITALIZATION FOR SARS-COV-2,REassessement After Hospitalization for Sars-COV-2 Infection : Standardized Assessment of Sequelae and Comorbidities 3 to 6 Months After Hospitalization,"February 08, 2021","University Hospital, Montpellier"
NCT04641182,Completed,Observational [Patient Registry],"July 6, 2020",66,COVID,CHILE,PRONE POSITION,Observational Study of Prone Position for Nonintubated Patients With COVID-19 and Hypoxemic Respiratory Failure,"February 08, 2021",Pontificia Universidad Catolica de Chile
NCT04568876,Recruiting,Interventional,"October 23, 2020",40,COVID,ITALY,"MICRONIZED AND ULTRA-MICRONIZED PALMITOYLETHANOLAMIDE (MPEA AND UMPEA, 300MG + 600MG) ORAL SUSPENSION","Efficacy of Palmitoylethanolamide, in add-on to Standard Therapy, on Inflammatory Markers of Patients With Interstitial Pneumonia Due to COVID-19. A Pilot Controlled, Randomized, Open Lable Clinical Study","February 08, 2021",Epitech Group SpA
NCT04442386,Not yet recruiting,Observational,"June 22, 2020",1500,PARENTAL BURNOUT,,PROSPECTIVE STUDY WITH TWO MEASUREMENT POINTS INVESTIGATING THE IMPACT OF VIRAL MITIGATION PROTOCOLS ON PARENTAL BURNOUT,Parental Burnout During the COVID-19 Pandemic: Risk Factors and Predictors,"February 08, 2021",University of Oslo
NCT04723394,Not yet recruiting,Interventional,"January 22, 2021",1324,COVID,UNITED KINGDOM,AZD7442,"A Phase III Randomized, Double-blind, Placebo-controlled, Multicenter Study to Determine the Safety and Efficacy of AZD7442 for the Treatment of COVID-19 in Non-hospitalized Adults","February 08, 2021",AstraZeneca
NCT04728347,Recruiting,Interventional,"January 4, 2021",106,SARS-COV2,SINGAPORE,ARCT-021,"A Phase 2a, Open Label Extension Study to Assess the Safety and Long-Term Immunogenicity of ARCT-021","February 08, 2021","Arcturus Therapeutics, Inc."
NCT04357938,"Active, not recruiting",Observational,"April 15, 2020",145,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,GERMANY,CT-IMAGING,Risk Stratification With Chest Computed Tomography to Rule-out Suspected SARS-CoV-2 Infections of Unspecific Symptomatic Patients Before Hospital Admission,"February 08, 2021",Jena University Hospital
NCT04371406,Withdrawn,Interventional,April 2020,0,COVID,,HYDROXYCHLOROQUINE AND AZITHROMYCIN,Efficacy of Azithromycin-associated Hydroxychloroquine Therapy Given in General Practice in Early-stage Disease in COVID-19 Patients: Randomized Controlled Trial: MG-COVID,"February 08, 2021",Assistance Publique - Hôpitaux de Paris
NCT04261907,Not yet recruiting,Interventional,"February 7, 2020",160,2019-NCOV,,ASC09/RITONAVIR GROUP,"A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection","February 08, 2021",First Affiliated Hospital of Zhejiang University
NCT04663776,Recruiting,Observational,"November 4, 2020",100000,COVID,UNITED STATES,,Wide Scale Monitoring for Acute Respiratory Infection Using a Mobile-Based Study Platform,"February 08, 2021",Boston Children's Hospital
NCT04452799,Not yet recruiting,Interventional,"July 1, 2020",100,CORONAVIRUS INFECTION,,HESPERIDIN AND DIOSMIN MIXTURE,Randomized Double-blind Controlled Parallel Study of (Hesperidin and Diosmin Mixture) for Treatment of COVID-19 Newly Diagnosed Patients in Egypt,"February 08, 2021",Tanta University
NCT04628208,Recruiting,Observational,"November 17, 2020",60,COVID,CANADA,SPARTAN COVID-19 V2 SYSTEM,Assess the Performance of Spartan COVID-19 V2 System in a Clinical Setting in Comparison to a Laboratory (Standard of Care (SOC)) PCR Method (Canada Alternate),"February 08, 2021",Spartan Bioscience Inc.
NCT04463628,Recruiting,Observational,"May 15, 2020",1200,CYSTIC FIBROSIS IN CHILDREN,FRANCE,QUESTIONNAIRE,"Impacts of the Covid-19 Epidemic and Associated Lockdown Measures on the Management, Health and Behaviors of Cystic Fibrosis Patients During the 2020 Epidemic","February 08, 2021",Centre Hospitalier Intercommunal Creteil
NCT04716569,Recruiting,Interventional,"January 20, 2021",150,COVID,EGYPT,INTRANASAL IVERMECTIN SPRAY,"Faculty of Medicine ,South Valley University","February 08, 2021",South Valley University
NCT04621084,Recruiting,Observational,"April 1, 2020",1000,NUTRITION,FRANCE,EATING HABITS,Influence of the COVId-19 Pandemic on STRESS and Eating Habits,"February 08, 2021","University Hospital, Clermont-Ferrand"
NCT04743908,Not yet recruiting,Interventional,February 2021,2400,COVID,,SOCIAL NETWORK STRATEGY + COVID-19 MESSAGING,Community Network-driven COVID-19 Testing of Vulnerable Populations in the Central US (C3),"February 08, 2021",University of Chicago
NCT04486313,"Active, not recruiting",Interventional,"August 13, 2020",1092,COVID,UNITED STATES,NITAZOXANIDE,"Phase 3, Randomized, Double-Blind, Placebo-Controlled, Trial to Evaluate Efficacy and Safety of Nitazoxanide in the Treatment of Mild or Moderate COVID-19","February 08, 2021",Romark Laboratories L.C.
NCT04432805,Recruiting,Interventional,"June 15, 2020",160,PREGNANT WOMEN SUSPECTED OF COVID,FRANCE,PERFORMING OF LUNG ULTRASOUND,Descriptive and Evaluation Study of the Use of Pulmonary Ultrasound in the Initial Management of Pregnant Women in the Context of COVID-19,"February 08, 2021",Assistance Publique Hopitaux De Marseille
NCT04472585,Recruiting,Interventional,"November 14, 2020",60,CORONAVIRUS INFECTION,PAKISTAN,IVERMECTIN INJECTABLE SOLUTION,Sub-cutaneous Ivermectin in Combination With and Without Oral Zinc: a Placebo Randomized Control Trial on Mild to Moderate COVID-19 Patients,"February 08, 2021",Sohaib Ashraf
NCT04335019,Not yet recruiting,Observational,April 2020,300,2019-NCOV (COVID),,PULMONARY ULTRASOUND,Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +,"February 08, 2021",Assistance Publique - Hôpitaux de Paris
NCT04542408,Recruiting,Interventional,"November 12, 2020",172,COVID,GERMANY,ANTICOAGULATION AGENTS (EDOXABAN AND/OR HIGH DOSE LMWH),Hamburg Edoxaban for Anticoagulation in COVID-19 Study,"February 08, 2021",Universitätsklinikum Hamburg-Eppendorf
NCT04345289,Recruiting,Interventional,"May 1, 2020",1100,COVID,DENMARK,CONVALESCENT ANTI-SARS-COV-2 PLASMA,"Efficacy and Safety of Treatment With Convalescent Plasma for Adults With COVID-19 Pneumonia. A Double-blinded, Randomized, Multicenter Placebo-controlled Trial","February 08, 2021",Thomas Benfield
NCT04556630,Not yet recruiting,Observational,October 2020,360,ASSISTED REPRODUCTION,,,Evaluation of the Experience of Lock Down Related to the Covid-19 Epidemic and Its Impact on the Project of Parenthood of the Couples Followed in Assisted Reproduction,"February 08, 2021","University Hospital, Lille"
NCT04322773,Terminated,Interventional,"April 5, 2020",20,CORONA VIRUS DISEASE,DENMARK,ROACTEMRA IV,"Effectiveness of Interleukin-6 Receptor Inhibitors in the Management of Patients With Severe SARS-CoV-2 Pneumonia: An Open-Label, Multicenter Sequential and Cluster Randomized Trial","February 08, 2021",Marius Henriksen
NCT04356417,Not yet recruiting,Observational,April 2020,6000000,"AMD, ACEI'S/ARB PREVENT/WORSEN RISK OF COVID INFECTION",FRANCE,- SYNTHETIC ANTI-MALARIAL DRUGS,Long-term Use of Drugs That Could Prevent the Risk of Serious COVID-19 Infections or Make it Worse: Cases of Synthetic Antimalarial Drugs and Anti-hypertensive Drugs,"February 08, 2021",Assistance Publique - Hôpitaux de Paris
NCT04382924,"Active, not recruiting",Interventional,"August 5, 2020",682,COVID,AUSTRALIA,NP-120 (IFENPRODIL),A Randomized Open Label Phase 2b/3 Study of the Safety and Efficacy of NP-120 (Ifenprodil) for the Treatment of Hospitalized Patient With Confirmed COVID-19 Disease,"February 08, 2021",Algernon Pharmaceuticals
NCT04427735,Recruiting,Observational,"January 24, 2019",200,STEMI,CHINA,,Effect of Covid-19 Epidemic on Primary PCI and Prognosis in Patients With Acute STEMI,"February 08, 2021",Beijing Friendship Hospital
NCT04410263,Recruiting,Observational,"April 9, 2020",300,CORONAVIRUS INFECTION,SWITZERLAND,"SAMPLING (EDTA BLOOD, PHARYNGEAL AND NOSE SWABS, BRONCHOALVEOLAR LAVAGE ,URINE)",Microbiota in COVID-19 Patients for Future Therapeutic and Preventive Approaches,"February 08, 2021",University of Zurich
NCT04405869,Recruiting,Observational,"April 29, 2020",300,PULMONARY THROMBOEMBOLISM,FRANCE,,Incidence of Thromboembolic Events and Prognosis of COVID-19 Patients Hospitalized in Intensive Care Units in France,"February 08, 2021","University Hospital, Strasbourg, France"
NCT04730323,Completed,Interventional,"May 12, 2020",93,COVID,PAKISTAN,TOCILIZUMAB,TOCILIZUMAB - An Option for Patients With COVID-19 Associated Cytokine Release Syndrome; A Single Center Experience,"February 08, 2021",FMH College of Medicine and Dentistry
NCT04212442,Recruiting,Interventional,"January 13, 2020",70,PHYSICAL DISABILITY,UNITED STATES,INDEPENDENT LIVING PROGRAM FOR AFFORDABLE HOUSING.,Improving Aging in Place for Older Adults in Subsidized Housing,"February 08, 2021",University of Pennsylvania
NCT04642196,Completed,Observational,"May 2, 2020",155,COVID,SWEDEN,,COVID-19 in Home Healthcare and Mortality,"February 08, 2021","University Hospital, Linkoeping"
NCT04417673,Not yet recruiting,Observational,"February 11, 2021",1000,ISOLATION,UNITED STATES,,A Longitudinal Survey Study on Living With Sickle Cell Disease in the COVID-19 Pandemic,"February 08, 2021",National Human Genome Research Institute (NHGRI)
NCT04701905,Recruiting,Observational,"April 30, 2020",450,COVID PANDEMIC,FRANCE,,The Offer of Neurosurgery Care in the Grand Est of France During the Health Crisis Linked to Covid-19,"February 08, 2021","University Hospital, Strasbourg, France"
NCT04575610,Recruiting,Interventional,"November 30, 2020",68,COVID,UNITED STATES,PF-06650833,Investigation of IRAK4 Inhibition to Mitigate the Impact of COVID-19 in Severe SARS-CoV-2 (I-RAMIC),"February 08, 2021",Yale University
NCT04375774,Recruiting,Interventional,May 2020,10,COVID,BELGIUM,FFP2,Verification of Alternative Do-it-yourself Equipment Respirators,"February 08, 2021",Cliniques universitaires Saint-Luc- Université Catholique de Louvain
NCT04382235,"Active, not recruiting",Observational,"March 26, 2020",900,COVID,ITALY,NON-INVASIVE VENTILATORY SUPPORT,Management Through Non-invasive Ventilatory Support of Patients Showing an Acute Respiratory Failure Related to COVID-19 in Non-intensive Wards,"February 08, 2021",University of Milano Bicocca
NCT04346628,Enrolling by invitation,Interventional,"July 12, 2020",120,SARS-COV2,UNITED STATES,FAVIPIRAVIR,"A Phase 2 Randomized, Double Blinded, Placebo Controlled Study of Oral Favipiravir Compared to Standard Supportive Care in Subjects With Mild or Asymptomatic COVID-19","February 08, 2021",Stanford University
NCT04629157,Recruiting,Interventional,"November 5, 2020",400,THIS IS A PILOT STUDY WHICH AIMS TO ASSESS THE VALIDITY AND APPLICABILITY OF LATERAL FLOW ASSAYS (LFAS) WHICH CAN BE USED AS A POINT OF CARE TEST FOR COVID,UNITED KINGDOM,INNOVA LATERAL FLOW DEVICE,The LAVA (Lateral Flow Antigen Validation and Applicability) Study for COVID-19,"February 08, 2021",Alder Hey Children's NHS Foundation Trust
NCT04486001,Recruiting,Interventional,"December 15, 2020",20,COVID,UNITED STATES,PSC-04,COVID-19 Stem Cell Therapy: A Phase I Study of Intravenous Administration of Allogeneic Adipose Stem Cells,"February 08, 2021","Sorrento Therapeutics, Inc."
NCT04649515,Recruiting,Interventional,"December 4, 2020",1305,CORONAVIRUS DISEASE-2019 (COVID),SINGAPORE,TY027,"Phase 3 Multi-Site, Randomised, Placebo Controlled, Double Blind, Single Dose Study of TY027 for Early Treatment of COVID-19","February 08, 2021",Tychan Pte Ltd.
NCT04327206,Recruiting,Interventional,"March 30, 2020",10078,CORONAVIRUS DISEASE 2019 (COVID),AUSTRALIA,BCG VACCINE,BCG Vaccination to Reduce the Impact of COVID-19 in Healthcare Workers (BRACE) Trial,"February 08, 2021",Murdoch Childrens Research Institute
NCT04408196,Recruiting,Observational,"May 26, 2020",200,REHABILITATION,ITALY,,Effects of Social Distancing on the Quality of Life and on the Emotional-affective Sphere of Caregivers and Patients Hospitalized in Residential Rehabilitation Departments: an Observational Study.,"February 08, 2021",Fondazione Don Carlo Gnocchi Onlus
NCT04334291,Completed,Observational [Patient Registry],"March 23, 2020",8168,COVID,SPAIN,OBSERVATIONAL (REGISTRY),International COVID19 Clinical Evaluation Registry: HOPECOVID19. (Health Outcome Predictive Evaluation for COVID19),"February 08, 2021",IVAN J NUÑEZ GIL
NCT04652505,Recruiting,Observational,"July 13, 2020",700,COVID INFECTION,UNITED STATES,QUESTIONNAIRE ADMINISTRATION,Coping With COVID: The Effect of the COVID-19 Public Health Crisis on Mental Well-Being in Cancer Patients Seen at the Psychiatric Oncology Clinic,"February 08, 2021",M.D. Anderson Cancer Center
NCT04472793,Recruiting,Observational,"May 11, 2020",200,COVID,UNITED STATES,SARS-COV-2,Repeated Employee Testing for Understanding Our Recovery to Normal,"February 08, 2021","Children's Hospital Medical Center, Cincinnati"
NCT04719208,Recruiting,Interventional,"October 6, 2020",60,COVID,UNITED STATES,WATER (E) MOUTH RINSE WITH THE SOLUTION PROVIDED,Reduction of Sars-CoV-2 Oral Viral Load With Prophylactic Mouth Rinse,"February 08, 2021",Augusta University
NCT04335630,Recruiting,Observational,"March 30, 2020",500,CARDIOVASCULAR DISEASES,UNITED STATES,"ELECTROCARDIOGRAM, TELEMETRY, ECHOCARDIOGRAM, LABORATORY VALUES",Cardiovascular Manifestations of Hospitalized Patients With Coronavirus Disease 2019,"February 08, 2021",Memorial Hermann Health System
NCT04376658,Recruiting,Observational,"July 15, 2020",1000,QUALITY OF LIFE,BRAZIL,COVID-19,Assessment of Health-related Quality of Life and Long-term Outcomes After Hospitalization for COVID-19: A Multicenter Prospective Cohort Study,"February 08, 2021",Hospital Moinhos de Vento
NCT04616768,Recruiting,Interventional,"November 19, 2020",125,CANCER,UNITED STATES,PRO QUESTIONNAIRE,"A Feasibility Trial Using Remote Patient-reported Outcomes and Wearable Technology-reported Step Data to Compare Engagement, Utilization, and Functional Status in Patients With Incurable Lung and Gastrointestinal Cancers","February 08, 2021",University of Pennsylvania
NCT04319211,Not yet recruiting,Observational,"March 25, 2020",200,HEALTHY PEOPLE,TURKEY,"DETERMINATION OF PHYSICAL ACTIVITY, QUALITY OF LIFE, STRESS LEVELS OF ISOLATED PEOPLE AT HOME WITH THE DANGER OF CORONAVIRUS.","Investigation of Physical Activity, Quality of Life and Stress Levels of Individuals Who Live in Their Homes Isolated Because of Coronavirus (COVID-19) Disease","February 08, 2021",Istanbul University-Cerrahpasa
NCT04382768,Recruiting,Interventional,"May 1, 2020",40,CORONAVIRUS INFECTION,ARGENTINA,INHALED HYPERTONIC IBUPROFEN,"Extended Compassionate Use Program (UCA) With Inhalational Ibuprofen in Patients With Acute Respiratory Pathology, Mediated by COVID-19.","February 08, 2021",Química Luar SRL
NCT04339712,Completed,Interventional,"April 2, 2020",102,COVID,GREECE,ANAKINRA,Efficiency in Management of Organ Dysfunction Associated With Infection by the Novel SARS-CoV-2 Virus (COVID-19) Through a Personalized Immunotherapy Approach: the ESCAPE Clinical Trial,"February 08, 2021",Hellenic Institute for the Study of Sepsis
NCT04372693,Enrolling by invitation,Interventional,"September 1, 2020",180,DISTANCE LEARNING-ONLINE LEARNING,EGYPT,IMPLIMINTING ONLINE DISTANCE LEARNING,Unplanned Shifting the Traditional Classroom-Based to Online Distance Learning as a Result of (COVID-19) Social Distancing Measures: Nursing Students' Perception and Achievement,"February 08, 2021",Cairo University
NCT04521400,Not yet recruiting,Interventional,"August 20, 2020",100,COVID,,HIGH DOSE INTERFERON-BETA 1A,"the Investigation Into Beneficial Effects of High-dose Interferon Beta 1-a, Compared to Low-dose Interferon Beta 1-a in Moderate to Severe Covid-19","February 08, 2021",Shahid Beheshti University of Medical Sciences
NCT04734717,Enrolling by invitation,Interventional,"January 12, 2021",2,COVID,HUNGARY,NEUROLOGY TEST,Coordination and Locomotor Problems in Patients With Covid-19 Virus,"February 08, 2021",Somogy Megyei Kaposi Mór Teaching Hospital
NCT04717011,Recruiting,Observational,January 2021,100,SARS-COV2,SPAIN,PCR TEST,Case Series Biomedical Study to Detect the Presence of SARS-CoV-2 in Semen of Patients Diagnosed With COVID-19 Disease,"February 08, 2021",Igenomix
NCT04519320,Recruiting,Interventional,"May 18, 2020",140,SARS-COV2,FRANCE,PULMONARY FUNCTION TESTING,Medium and Long Term Follow-up of SARS-COV-2 Infected Patients Treated at Besançon and Dijon Hospitals: Research and Characterization of Pulmonary Sequelae,"February 08, 2021",Centre Hospitalier Universitaire de Besancon
NCT04379232,Completed,Observational,"March 19, 2020",112,DIGESTIVE CANCER,FRANCE,SCREENING TEST FOR COVID ( RT PCR AND CT CHEST),Surgical Activity During the Covid-19 Pandemic: Results for 112 Patients in a French Tertiary Care Center: A Retrospective Observational Cohort Study,"February 08, 2021",Hospices Civils de Lyon
NCT04581928,Recruiting,Observational,"October 10, 2020",300,COVID,EGYPT,,Patients Reactions Towards Their Diagnosis as Having COVID-19: A Cohort Study,"February 08, 2021",ClinAmygate
NCT04674553,Completed,Observational,"November 10, 2020",100,OBESITY,PAKISTAN,,Effect of Obesity Among COVID-19 Patients in Critical Care Settings,"February 08, 2021","Services Institute of Medical Sciences, Pakistan"
NCT04618835,Recruiting,Observational,"November 3, 2020",1000,COVID,UNITED KINGDOM,40-STEPS-TEST,Exertional Desaturation as a Marker of Risk - Validation Study for the 40-steps-test; A Multi-centre Prospective Observational Cohort Study,"February 08, 2021",Betsi Cadwaladr University Health Board
NCT04352946,Not yet recruiting,Interventional,"April 24, 2020",374,PROPHYLAXIS,UNITED STATES,HYDROXYCHLOROQUINE PRE-EXPOSURE PROPHYLAXIS,"Protecting Health Care Workers From COVID-19 With Hydroxychloroquine Pre-exposure Prophylaxis: A Randomized, Placebo-controlled Trial","February 08, 2021",GeoSentinel Foundation
NCT04433260,Recruiting,Observational,"July 25, 2020",1050,MENTAL HEALTH,UNITED KINGDOM,"QUESTIONNAIRE INCLUDING VALIDATED TOOLS SUCH AS PATIENT HEALTH QUESTIONNAIRE (PHQ-9), THE 7-ITEM GENERALISED ANXIETY DISORDER (GAD- 7), THE 7-ITEM INSOMNIA SEVERITY INDEX","Immediate and Mid-term Implications of the Covid-19 Pandemic on the Physical, Behavioural and Mental Health of Healthcare Workers: A Cohort Study of Doctor, Nurses and Other Health Care Workers","February 08, 2021",Queen Mary University of London
NCT04576728,Recruiting,Interventional,"October 6, 2020",164,COVID,BRAZIL,TRIMODULIN,"A Randomized, Placebo-controlled, Double-blind, Multi-center, Phase II Trial Investigating the Efficacy and Safety of Trimodulin (BT588) as add-on Therapy to Standard of Care in Adult Subjects With Severe COVID-19","February 08, 2021",Biotest
NCT04361032,Not yet recruiting,Interventional,"September 4, 2020",260,COVID,TUNISIA,TOCILIZUMAB INJECTION,"Assessment of Efficacy and Safety of Tocilizumab Compared to DefeROxamine, Associated With Standards Treatments in COVID-19 (+) Patients Hospitalized In Intensive Care in Tunisia. Multicentric, Comparative, Randomized Study","February 08, 2021",Abderrahmane Mami Hospital
NCT04511780,Not yet recruiting,Observational,January 2021,5000,CRITICAL ILLNESS,FRANCE,QUESTIONNAIRE FILLING,"Psychological Impact of COVID-19 Outbreak on Caregivers Involved in Intensive Care Unit Patient Management: Impact on the Occurrence of Post-traumatic Stress Disorder, Anxiety, Depression and Burn Out Syndrome","February 08, 2021",Centre Hospitalier Universitaire de Nīmes
NCT04462120,"Active, not recruiting",Observational,"June 16, 2020",100,COVID,EGYPT,,Association Between IL-12RB and TNF-alpha Gene Polymorphism With Susceptibility and Progress of Covid-19 SARS-CoV-2: A Case Control Study,"February 08, 2021",Assiut University
NCT04568564,Recruiting,Interventional,"October 1, 2020",40,LUNG CANCER,TURKEY,"BREATHING EXERCISE, INTENSIVE SPIROMETRY USE, SUPPORTED COUGH, PROGRESSIVE MOBILISATION AND AMBULATION",Telerehabilitation of Reduced Physiotherapy Service in SARS-CoV-2 Pandemic Process in Lung Surgery Patients,"February 08, 2021",Istanbul Medipol University Hospital
